days	popsize	nclones	shannon	CycleMedian	restingCells	numberOfDeaths	newCells	lenProliferating	stemNumber	time
0	10480	9973	9.19016	19.66	419	27	507	10061	10261	@ 18:38:59
0	11001	9960	9.17456	19.68	473	16	537	10111	10566	@ 18:38:59
0	11514	9939	9.16169	19.69	460	27	540	10165	10854	@ 18:38:59
0	12004	9915	9.15174	19.7	442	32	522	10213	11136	@ 18:38:59
0	12523	9897	9.14462	19.71	466	33	552	10270	11435	@ 18:38:59
0	13026	9883	9.14021	19.73	415	28	531	10362	11739	@ 18:38:59
0	13502	9868	9.13748	19.69	419	37	513	10430	12005	@ 18:38:59
0	13919	9848	9.13555	19.7	382	45	462	10479	12237	@ 18:38:59
0	14346	9832	9.13503	19.7	389	37	464	10531	12482	@ 18:39:00
0	14798	9810	9.13497	19.73	411	50	502	10580	12727	@ 18:39:00
0	15277	9794	9.13652	19.75	421	55	534	10658	13011	@ 18:39:00
0	15681	9779	9.13833	19.79	414	55	459	10666	13206	@ 18:39:00
0	16084	9768	9.14094	19.79	377	59	462	10707	13424	@ 18:39:00
0	16522	9757	9.14429	19.81	401	59	497	10768	13690	@ 18:39:00
0	16923	9745	9.14656	19.79	360	67	468	10829	13930	@ 18:39:00
0	17308	9734	9.14766	19.8	377	73	458	10864	14138	@ 18:39:00
0	17653	9724	9.14743	19.8	372	89	434	10873	14318	@ 18:39:00
0	18052	9709	9.14601	19.77	403	78	477	10887	14530	@ 18:39:00
0	18455	9702	9.14389	19.79	369	69	472	10947	14776	@ 18:39:00
0	18894	9694	9.14091	19.78	406	82	521	11020	15034	@ 18:39:00
0	19329	9685	9.13783	19.79	424	103	538	11071	15279	@ 18:39:00
0	19764	9677	9.13492	19.8	447	97	532	11095	15510	@ 18:39:00
0	20202	9668	9.13111	19.81	452	107	545	11124	15739	@ 18:39:00
0	20588	9662	9.12764	19.8	426	130	516	11136	15940	@ 18:39:00
1	20946	9654	9.12392	19.79	451	146	504	11110	16093	@ 18:39:01
1	21300	9638	9.11944	19.8	448	167	521	11110	16268	@ 18:39:01
1	21638	9628	9.11551	19.79	428	196	534	11115	16430	@ 18:39:01
1	22002	9617	9.11184	19.81	455	183	547	11116	16607	@ 18:39:01
1	22320	9613	9.10848	19.82	398	182	500	11115	16758	@ 18:39:01
1	22613	9609	9.10603	19.85	415	193	486	11096	16888	@ 18:39:01
1	22872	9598	9.10222	19.84	355	199	458	11091	17016	@ 18:39:01
1	23114	9583	9.09803	19.85	430	249	491	11032	17122	@ 18:39:01
1	23352	9565	9.09305	19.85	424	265	503	10986	17214	@ 18:39:01
1	23509	9541	9.08733	19.87	379	303	460	10920	17269	@ 18:39:01
1	23722	9516	9.08089	19.86	439	293	506	10857	17350	@ 18:39:01
1	23961	9495	9.07487	19.83	420	286	525	10831	17470	@ 18:39:01
1	24155	9479	9.06907	19.84	410	326	520	10801	17563	@ 18:39:01
1	24294	9450	9.06139	19.83	409	357	496	10733	17592	@ 18:39:01
1	24456	9426	9.05429	19.84	440	357	519	10669	17634	@ 18:39:01
1	24587	9408	9.04821	19.83	435	366	497	10565	17660	@ 18:39:01
1	24732	9386	9.0416	19.85	425	371	516	10494	17710	@ 18:39:02
1	24845	9362	9.03585	19.87	373	361	474	10453	17743	@ 18:39:02
1	24912	9333	9.02861	19.87	369	392	459	10357	17725	@ 18:39:02
1	24937	9304	9.0215	19.89	395	423	448	10211	17654	@ 18:39:02
1	24974	9273	9.01459	19.87	347	389	426	10135	17630	@ 18:39:02
1	24998	9240	9.00784	19.89	358	409	433	10054	17595	@ 18:39:02
1	25070	9203	9.00133	19.9	376	385	457	9979	17620	@ 18:39:02
1	25086	9169	8.99456	19.93	349	415	431	9895	17592	@ 18:39:02
2	25110	9140	8.98838	19.92	370	400	424	9787	17532	@ 18:39:02
2	25229	9106	8.98166	19.91	370	337	456	9740	17547	@ 18:39:02
2	25283	9074	8.9745	19.87	387	396	450	9659	17519	@ 18:39:02
2	25382	9045	8.96717	19.87	407	374	473	9585	17540	@ 18:39:02
2	25411	9011	8.95831	19.83	372	419	448	9517	17506	@ 18:39:02
2	25475	8974	8.95031	19.83	380	383	447	9439	17506	@ 18:39:02
2	25554	8943	8.94313	19.8	379	385	464	9391	17516	@ 18:39:02
2	25578	8901	8.935	19.8	371	433	457	9323	17491	@ 18:39:03
2	25632	8875	8.92861	19.81	369	385	439	9256	17477	@ 18:39:03
2	25668	8845	8.92242	19.82	329	393	429	9214	17473	@ 18:39:03
2	25662	8812	8.91608	19.83	310	382	376	9147	17458	@ 18:39:03
2	25692	8776	8.9087	19.85	353	405	435	9078	17456	@ 18:39:03
2	25690	8739	8.90269	19.85	346	393	391	8980	17402	@ 18:39:03
2	25736	8708	8.89637	19.86	342	378	424	8937	17402	@ 18:39:03
2	25792	8694	8.89079	19.88	317	333	389	8890	17422	@ 18:39:03
2	25773	8669	8.88493	19.91	309	391	372	8821	17384	@ 18:39:03
2	25816	8631	8.87698	19.92	319	348	391	8788	17419	@ 18:39:03
2	25845	8601	8.86974	19.89	303	355	384	8740	17415	@ 18:39:03
2	25881	8566	8.86163	19.9	314	355	391	8699	17415	@ 18:39:03
2	25859	8528	8.8539	19.93	296	386	364	8649	17385	@ 18:39:03
2	25877	8492	8.84546	19.91	340	388	406	8581	17370	@ 18:39:03
2	25965	8469	8.83842	19.91	348	358	446	8558	17413	@ 18:39:03
2	26047	8440	8.83068	19.87	337	340	422	8544	17431	@ 18:39:03
2	26054	8412	8.82494	19.88	297	348	355	8490	17402	@ 18:39:03
3	26105	8382	8.81786	19.89	337	346	397	8438	17402	@ 18:39:04
3	26127	8343	8.81029	19.89	344	376	398	8364	17377	@ 18:39:04
3	26175	8308	8.80294	19.92	319	337	385	8328	17372	@ 18:39:04
3	26217	8291	8.79706	19.93	298	315	357	8292	17385	@ 18:39:04
3	26237	8265	8.79103	19.93	296	324	344	8245	17369	@ 18:39:04
3	26246	8238	8.78386	19.92	290	340	349	8196	17347	@ 18:39:04
3	26272	8202	8.77582	19.93	307	346	372	8145	17329	@ 18:39:04
3	26326	8175	8.7698	19.95	313	318	372	8109	17344	@ 18:39:04
3	26347	8137	8.76219	19.95	311	351	372	8055	17326	@ 18:39:04
3	26392	8094	8.75459	19.98	283	312	357	8036	17359	@ 18:39:04
3	26423	8059	8.74643	19.98	316	322	353	7971	17357	@ 18:39:04
3	26454	8028	8.73978	19.96	292	324	355	7934	17347	@ 18:39:04
3	26477	7995	8.73317	19.98	271	348	371	7936	17345	@ 18:39:04
3	26550	7961	8.72454	19.94	324	335	408	7920	17388	@ 18:39:04
3	26582	7932	8.71677	19.89	272	328	360	7916	17416	@ 18:39:04
3	26635	7902	8.70886	19.88	307	307	360	7883	17425	@ 18:39:05
3	26697	7868	8.70035	19.9	309	322	384	7870	17445	@ 18:39:05
3	26762	7835	8.69239	19.91	348	322	387	7813	17449	@ 18:39:05
3	26816	7805	8.68569	19.9	263	274	328	7807	17468	@ 18:39:05
